NS_GPS_Time,SlowDr_Status,INS_Vehicle_SlowDr_Pos_X,INS_Vehicle_SlowDr_Pos_Y,INS_Vehicle_SlowDr_Pos_Z,INS_Vehicle_SlowDr_Pitch,INS_Vehicle_SlowDr_Roll,INS_Vehicle_SlowDr_Headin
266930130, 1, 193.77799999993294, -464.1539999996312, 9.33199999993667, -0.009999999999990905, 0.7289999999999992, 330.69100000000003
266930140, 1, 193.73500000033528, -464.2309999996796, 9.33199999993667, -0.014999999999986358, 0.7240000000000038, 330.69
266930150, 1, 193.69200000027195, -464.30899999989197, 9.33199999993667, -0.020000000000010232, 0.7259999999999991, 330.688
266930160, 1, 193.64900000020862, -464.3859999999404, 9.33199999993667, -0.02400000000000091, 0.7259999999999991, 330.685
266930170, 1, 193.6070000003092, -464.4629999999888, 9.33199999993667, -0.031999999999982265, 0.7180000000000035, 330.683
266930180, 1, 193.56400000024587, -464.54000000003725, 9.33199999993667, -0.03799999999998249, 0.7270000000000039, 330.68
266930190, 1, 193.52100000018254, -464.61699999962, 9.333000000100583, -0.04099999999999682, 0.7240000000000038, 330.67900000000003
266930200, 1, 193.47900000028312, -464.69399999966845, 9.333000000100583, -0.046999999999997044, 0.7240000000000038, 330.677
266930210, 1, 193.4360000002198, -464.7709999997169, 9.333000000100583, -0.04999999999998295, 0.7240000000000038, 330.676
266930220, 1, 193.39400000032037, -464.8479999997653, 9.333000000100583, -0.055999999999983174, 0.7310000000000088, 330.675
266930230, 1, 193.35100000025705, -464.92499999981374, 9.333000000100583, -0.06499999999999773, 0.7289999999999992, 330.673
266930240, 1, 193.30900000035763, -465.00199999986216, 9.333000000100583, -0.0660000000000025, 0.7319999999999993, 330.67
266930250, 1, 193.2660000002943, -465.0779999997467, 9.333000000100583, -0.07499999999998863, 0.7439999999999998, 330.66700000000003
266930260, 1, 193.22400000039488, -465.1549999997951, 9.333000000100583, -0.08400000000000318, 0.7540000000000049, 330.664
266930270, 1, 193.1820000000298, -465.2309999996796, 9.333000000100583, -0.09000000000000341, 0.7450000000000045, 330.661
266930280, 1, 193.14000000013039, -465.30799999972805, 9.333000000100583, -0.09999999999999432, 0.7579999999999956, 330.659
266930290, 1, 193.09700000006706, -465.38399999961257, 9.333000000100583, -0.10800000000000409, 0.7740000000000009, 330.656
266930300, 1, 193.05500000016764, -465.45999999996275, 9.333000000100583, -0.11199999999999477, 0.7789999999999964, 330.653
266930310, 1, 193.01300000026822, -465.53599999984726, 9.333000000100583, -0.12100000000000932, 0.7879999999999967, 330.649
266930320, 1, 192.9710000003688, -465.6119999997318, 9.334000000264496, -0.12899999999999068, 0.7950000000000017, 330.645
266930330, 1, 192.92900000000373, -465.6879999996163, 9.334000000264496, -0.12999999999999545, 0.8050000000000068, 330.642
266930340, 1, 192.8870000001043, -465.7639999999665, 9.334000000264496, -0.1419999999999959, 0.8089999999999975, 330.64
266930350, 1, 192.8450000002049, -465.839999999851, 9.334000000264496, -0.14599999999998658, 0.820999999999998, 330.636
266930360, 1, 192.80300000030547, -465.91500000003725, 9.334000000264496, -0.15000000000000568, 0.8230000000000075, 330.632
266930370, 1, 192.7609999999404, -465.99099999992177, 9.334000000264496, -0.15799999999998704, 0.8260000000000076, 330.628
266930380, 1, 192.71900000004098, -466.0659999996424, 9.334000000264496, -0.1599999999999966, 0.8269999999999982, 330.62600000000003
266930390, 1, 192.67700000014156, -466.14199999999255, 9.334999999962747, -0.16200000000000614, 0.8340000000000032, 330.622
266930400, 1, 192.6359999999404, -466.21699999971315, 9.334999999962747, -0.1670000000000016, 0.8359999999999985, 330.619
266930410, 1, 192.59400000004098, -466.29300000006333, 9.334999999962747, -0.16800000000000637, 0.8310000000000031, 330.616
